epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,119.249,1.36445,1.15995,1.19901,0.88306,0.89451,0.93515,0.58478,1.22984,0.96542,1.15377,0.000990365,0.000990365,0.000990365
43,121.838,1.31803,1.17004,1.24821,0.92537,0.88107,0.9428,0.59638,1.22447,0.91312,1.13989,0.000973861,0.000973861,0.000973861
44,124.496,1.33361,1.1726,1.29109,0.9235,0.86286,0.94069,0.60982,1.21968,0.87432,1.13369,0.000957358,0.000957358,0.000957358
45,127.209,1.39524,1.20581,1.20386,0.9235,0.86286,0.94069,0.60982,1.21968,0.87432,1.13369,0.000940855,0.000940855,0.000940855
46,129.968,1.30931,1.21847,1.19052,0.92337,0.87684,0.93913,0.59943,1.22643,0.86306,1.12955,0.000924352,0.000924352,0.000924352
47,132.87,1.30941,1.15552,1.20051,0.94595,0.85094,0.94317,0.59974,1.22805,0.88839,1.12278,0.000907848,0.000907848,0.000907848
48,135.487,1.33642,1.13261,1.17292,0.90047,0.90202,0.93831,0.59271,1.23372,0.92761,1.12112,0.000891345,0.000891345,0.000891345
49,138.382,1.26491,1.10141,1.17169,0.94457,0.87463,0.94218,0.60249,1.21815,0.89837,1.11194,0.000874842,0.000874842,0.000874842
50,141.141,1.34131,1.09287,1.19283,0.94457,0.87463,0.94218,0.60249,1.21815,0.89837,1.11194,0.000858338,0.000858338,0.000858338
51,143.975,1.36536,1.10201,1.20468,0.94609,0.86651,0.94664,0.62104,1.16356,0.83912,1.10085,0.000841835,0.000841835,0.000841835
52,146.552,1.28953,1.13006,1.15188,0.94787,0.88715,0.9459,0.62056,1.1628,0.84647,1.11534,0.000825332,0.000825332,0.000825332
53,149.071,1.29205,1.10206,1.21472,0.92641,0.89212,0.94036,0.62739,1.12097,0.81873,1.09603,0.000808828,0.000808828,0.000808828
54,152.546,1.304,1.20493,1.28217,0.95211,0.89142,0.95134,0.63043,1.09101,0.81107,1.07787,0.000792325,0.000792325,0.000792325
55,155.472,1.25098,1.08269,1.18423,0.94464,0.89828,0.95876,0.63245,1.08667,0.80749,1.07161,0.000775822,0.000775822,0.000775822
56,158.54,1.31346,1.05112,1.14184,0.94464,0.89828,0.95876,0.63245,1.08667,0.80749,1.07161,0.000759318,0.000759318,0.000759318
57,161.545,1.27472,1.09134,1.18935,0.96503,0.9013,0.96358,0.62388,1.11915,0.81127,1.08319,0.000742815,0.000742815,0.000742815
58,164.017,1.3002,1.09387,1.17882,0.96877,0.89334,0.96447,0.61464,1.16126,0.81038,1.10643,0.000726312,0.000726312,0.000726312
59,166.873,1.15996,0.9928,1.16027,0.96101,0.9163,0.96791,0.63062,1.10958,0.79846,1.07934,0.000709809,0.000709809,0.000709809
60,169.87,1.20312,1.02576,1.16083,0.95379,0.91381,0.96077,0.65264,1.06171,0.75975,1.05069,0.000693305,0.000693305,0.000693305
61,172.855,1.25459,1.08449,1.13741,0.95379,0.91381,0.96077,0.65264,1.06171,0.75975,1.05069,0.000676802,0.000676802,0.000676802
62,176.04,1.16956,0.95139,1.14427,0.96721,0.91134,0.95809,0.6545,1.05717,0.75481,1.04822,0.000660299,0.000660299,0.000660299
63,178.763,1.22988,1.00087,1.14294,0.95979,0.92567,0.96561,0.65391,1.07914,0.74634,1.05874,0.000643795,0.000643795,0.000643795
64,181.383,1.18742,0.99536,1.20739,0.98035,0.92544,0.96742,0.65246,1.0839,0.74913,1.06459,0.000627292,0.000627292,0.000627292
65,183.714,1.21233,0.99153,1.14814,0.98626,0.93708,0.97123,0.67162,1.05823,0.73836,1.05118,0.000610789,0.000610789,0.000610789
66,186.105,1.20049,0.96686,1.12295,0.98626,0.93708,0.97123,0.67162,1.05823,0.73836,1.05118,0.000594286,0.000594286,0.000594286
67,188.395,1.19251,0.94329,1.11354,0.97214,0.93356,0.97384,0.685,1.01845,0.73642,1.0334,0.000577782,0.000577782,0.000577782
68,190.93,1.11765,0.89629,1.13011,0.97122,0.93174,0.97289,0.6885,0.99146,0.71781,1.0209,0.000561279,0.000561279,0.000561279
69,193.342,1.23543,0.99103,1.11628,0.96834,0.93174,0.97162,0.68256,1.00942,0.72159,1.02745,0.000544776,0.000544776,0.000544776
70,195.855,1.15396,0.9218,1.13401,0.96798,0.93664,0.97114,0.68589,0.99969,0.72534,1.02123,0.000528272,0.000528272,0.000528272
71,198.192,1.15763,0.99235,1.0711,0.96798,0.93664,0.97114,0.68589,0.99969,0.72534,1.02123,0.000511769,0.000511769,0.000511769
72,200.662,1.13334,0.91449,1.08644,0.9499,0.9446,0.97128,0.68973,0.97462,0.70857,1.00915,0.000495266,0.000495266,0.000495266
73,203.175,1.19324,0.95382,1.12048,0.97748,0.90496,0.97106,0.68947,0.99075,0.71449,1.01321,0.000478762,0.000478762,0.000478762
74,205.513,1.11754,0.97364,1.10506,0.9878,0.9091,0.97132,0.70074,0.98551,0.70808,1.01081,0.000462259,0.000462259,0.000462259
75,208.006,1.15325,0.92025,1.1159,0.953,0.93975,0.96824,0.69281,0.95296,0.69334,0.99735,0.000445756,0.000445756,0.000445756
76,210.493,1.11865,0.91965,1.11277,0.97487,0.92604,0.96956,0.69662,0.95738,0.69685,0.99734,0.000429253,0.000429253,0.000429253
77,212.722,1.10599,0.90552,1.11392,0.97487,0.92604,0.96956,0.69662,0.95738,0.69685,0.99734,0.000412749,0.000412749,0.000412749
78,215.389,1.07599,0.88053,1.07845,0.95653,0.94838,0.97387,0.70948,0.94128,0.67969,0.9898,0.000396246,0.000396246,0.000396246
79,217.657,1.09267,0.86765,1.07183,0.96698,0.94957,0.97431,0.71614,0.92892,0.66296,0.98135,0.000379743,0.000379743,0.000379743
80,220.106,1.10113,0.92883,1.09505,0.96756,0.94957,0.9744,0.71746,0.92508,0.65627,0.97845,0.000363239,0.000363239,0.000363239
81,222.786,1.08793,0.84991,1.07143,0.96173,0.95094,0.9743,0.70952,0.92543,0.65189,0.98055,0.000346736,0.000346736,0.000346736
82,225.171,1.09194,0.89347,1.07052,0.96173,0.95094,0.9743,0.70952,0.92543,0.65189,0.98055,0.000330233,0.000330233,0.000330233
83,227.761,1.07759,0.88463,1.10712,0.9517,0.95155,0.97372,0.7095,0.92596,0.65755,0.98122,0.000313729,0.000313729,0.000313729
84,230.196,1.02639,0.8198,1.08598,0.96024,0.95009,0.97414,0.70649,0.90847,0.65426,0.97351,0.000297226,0.000297226,0.000297226
85,232.587,1.09213,0.85854,1.09749,0.95725,0.94833,0.974,0.72087,0.87929,0.63981,0.96102,0.000280723,0.000280723,0.000280723
86,235.069,1.07576,0.82713,1.05834,0.97011,0.94549,0.97518,0.727,0.86061,0.62565,0.95284,0.00026422,0.00026422,0.00026422
87,237.375,1.03492,0.81558,1.05083,0.97011,0.94549,0.97518,0.727,0.86061,0.62565,0.95284,0.000247716,0.000247716,0.000247716
88,239.934,1.04744,0.86319,1.08772,0.96893,0.95505,0.97611,0.73196,0.85279,0.61925,0.94835,0.000231213,0.000231213,0.000231213
89,242.414,1.01271,0.78144,1.0593,0.97743,0.95352,0.97763,0.72579,0.85139,0.6258,0.9466,0.00021471,0.00021471,0.00021471
90,244.923,1.04282,0.85551,1.04489,0.97275,0.95581,0.97828,0.72401,0.85227,0.6221,0.94797,0.000198206,0.000198206,0.000198206
91,247.649,1.02873,0.93174,1.03582,0.97954,0.95022,0.97764,0.71443,0.8542,0.63061,0.94905,0.000181703,0.000181703,0.000181703
92,250.103,1.02096,0.88122,1.06827,0.97954,0.95022,0.97764,0.71443,0.8542,0.63061,0.94905,0.0001652,0.0001652,0.0001652
93,252.78,0.99541,0.92893,1.03394,0.97238,0.95748,0.97335,0.70994,0.85422,0.64218,0.94873,0.000148696,0.000148696,0.000148696
94,255.052,0.98412,0.88071,1.06103,0.97025,0.94981,0.9726,0.71155,0.84384,0.63877,0.94626,0.000132193,0.000132193,0.000132193
95,257.43,0.97872,0.87734,1.01025,0.97984,0.94446,0.97229,0.71319,0.84162,0.63489,0.94654,0.00011569,0.00011569,0.00011569
96,259.841,0.98098,0.90112,1.01486,0.97852,0.94304,0.97224,0.7194,0.84127,0.63837,0.94563,9.91865e-05,9.91865e-05,9.91865e-05
97,262.508,0.94042,0.8455,0.99098,0.98324,0.94457,0.97056,0.72212,0.83437,0.63492,0.94224,8.26832e-05,8.26832e-05,8.26832e-05
98,264.875,0.97136,0.8465,1.02154,0.98324,0.94457,0.97056,0.72212,0.83437,0.63492,0.94224,6.61799e-05,6.61799e-05,6.61799e-05
99,267.144,0.95916,0.83166,1.00693,0.9608,0.95119,0.96985,0.72104,0.83164,0.63289,0.94183,4.96766e-05,4.96766e-05,4.96766e-05
100,269.673,0.97694,0.82949,1.0349,0.96609,0.94468,0.96957,0.72312,0.82581,0.63052,0.94041,3.31733e-05,3.31733e-05,3.31733e-05
