epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28.0424,1.27133,2.06313,1.6858,0.64786,0.71581,0.79344,0.38182,1.81254,2.4847,2.82138,0.000848969,0.000848969,0.000848969
43,28.6699,1.288,2.11753,1.68465,0.64786,0.71581,0.79344,0.38182,1.81254,2.4847,2.82138,0.000834822,0.000834822,0.000834822
44,29.291,1.25673,1.95107,1.54111,0.64786,0.71581,0.79344,0.38182,1.81254,2.4847,2.82138,0.000820675,0.000820675,0.000820675
45,29.9295,1.47683,2.26813,1.93292,0.30609,0.55556,0.66522,0.42219,1.64945,2.84349,2.56693,0.000806528,0.000806528,0.000806528
46,30.7059,1.16885,1.80875,1.51214,0.30609,0.55556,0.66522,0.42219,1.64945,2.84349,2.56693,0.00079238,0.00079238,0.00079238
47,31.3331,1.26854,1.88549,1.48492,0.30609,0.55556,0.66522,0.42219,1.64945,2.84349,2.56693,0.000778233,0.000778233,0.000778233
48,31.9621,1.21014,1.90477,1.55448,0.30609,0.55556,0.66522,0.42219,1.64945,2.84349,2.56693,0.000764086,0.000764086,0.000764086
49,32.5884,1.42035,1.97577,1.73829,0.30609,0.55556,0.66522,0.42219,1.64945,2.84349,2.56693,0.000749939,0.000749939,0.000749939
50,33.2487,1.16627,1.94095,1.54633,0.95517,0.44444,0.8465,0.44058,1.70634,2.01935,2.4324,0.000735792,0.000735792,0.000735792
51,33.8838,1.23563,1.57072,1.4496,0.95517,0.44444,0.8465,0.44058,1.70634,2.01935,2.4324,0.000721645,0.000721645,0.000721645
52,34.5242,1.0661,1.71516,1.43916,0.95517,0.44444,0.8465,0.44058,1.70634,2.01935,2.4324,0.000707498,0.000707498,0.000707498
53,35.1523,1.30934,1.83674,1.64203,0.95517,0.44444,0.8465,0.44058,1.70634,2.01935,2.4324,0.000693351,0.000693351,0.000693351
54,35.7858,1.01027,1.77932,1.40133,0.95517,0.44444,0.8465,0.44058,1.70634,2.01935,2.4324,0.000679204,0.000679204,0.000679204
55,36.4179,1.23616,1.70553,1.56283,0.95517,0.44444,0.8465,0.44058,1.70634,2.01935,2.4324,0.000665057,0.000665057,0.000665057
56,37.0716,1.12832,1.75504,1.50736,0.7845,0.59623,0.83,0.4384,1.66856,1.75313,2.28962,0.000650909,0.000650909,0.000650909
57,37.6972,1.18098,1.80464,1.55499,0.7845,0.59623,0.83,0.4384,1.66856,1.75313,2.28962,0.000636762,0.000636762,0.000636762
58,38.3165,1.34839,1.86291,1.54104,0.7845,0.59623,0.83,0.4384,1.66856,1.75313,2.28962,0.000622615,0.000622615,0.000622615
59,38.9365,1.33147,1.80187,1.69767,0.7845,0.59623,0.83,0.4384,1.66856,1.75313,2.28962,0.000608468,0.000608468,0.000608468
60,39.6991,1.21527,1.70285,1.5143,0.7845,0.59623,0.83,0.4384,1.66856,1.75313,2.28962,0.000594321,0.000594321,0.000594321
